model,category,n,accuracy_pct,coverage_pct
ft_cbow_d100,familia,380,39.74,100.0
ft_cbow_d100,gram1-adjectiu-a-adverbi,650,25.85,100.0
ft_cbow_d100,gram10-masculi-femeni-plural,702,54.13,100.0
ft_cbow_d100,gram2-antònims,506,31.42,100.0
ft_cbow_d100,gram3-infinitiu-geruni,1056,71.31,100.0
ft_cbow_d100,gram4-país-gentilici,1560,46.09,100.0
ft_cbow_d100,gram5-gerundi-imperfet,1482,65.52,100.0
ft_cbow_d100,gram6-plural,1332,31.76,100.0
ft_cbow_d100,gram7-infinitiu-a-3a-singular,870,41.38,100.0
ft_cbow_d100,gram8-infinitiu-a-1a-singular,812,17.98,100.0
ft_cbow_d100,gram9-masculi-femeni,812,57.88,100.0
